id,word,definition,identifier,lesson_1,lesson_2,lesson_3,lesson_4,audio,glossary_list
atayma,atáyma,"barter, sell",Sahaptian-018,1,1,1,0,/objects/audio/Sahaptian-018.mp3,umatilla
ataymatawas,ataymat̓áwas,"store, village, town, city, trading post",Sahaptian-127,0,1,1,1,/objects/audio/Sahaptian-127.mp3,umatilla
axsaxs,áx̣šax̣š,"dentalium or tusk shell, scientific name: *Dentalium pretiosum*",Sahaptian-155,0,1,0,0,/objects/audio/Sahaptian-155.mp3,umatilla
calamat,čalámat,"pipe, ceremonial pipe",Sahaptian-130,0,1,1,0,/objects/audio/Sahaptian-130.mp3,umatilla
cuus,čúuš,water; all [káˀuyit](#kauyit) meals begin and end with a drink of this,Sahaptian-042,1,1,0,1,/objects/audio/Sahaptian-042.mp3,umatilla
iciskiin,ičiškíin,"""in this language..."" or ""in the Indian language..."" can also directly translate as ""Sahaptian""",Sahaptian-068,0,0,0,0,/objects/audio/Sahaptian-068.mp3,umatilla
imatalam,ímatalam,"the place at the mouth of [ímatalam wana](#imatalam-wana) or the Umatilla River, a permanent camp now a city called Umatilla",Sahaptian-060,0,0,0,0,/objects/audio/Sahaptian-060.mp3,umatilla
imatalam-wana,ímatalam wana,"Umatilla River, literally translates as “rocky river”",Sahaptian-020,0,1,0,1,/objects/audio/Sahaptian-020.mp3,umatilla
imatalamlaami-sinwit,imatalamłaamí sɨ́nwit,Umatilla language,Sahaptian-067,0,0,0,0,/objects/audio/Sahaptian-067.mp3,umatilla
imatalamlama,ímatalamłáma,"Umatilla People, people of the Umatilla River",Sahaptian-021,0,1,1,1,/objects/audio/Sahaptian-021.mp3,umatilla
iyawa,íyawa,to herd or drive (horses or cattle),Sahaptian-103,0,0,0,0,/objects/audio/Sahaptian-103.mp3,umatilla
kauyi,káˀuyi,"to eat first foods, to feast",Sahaptian-089,0,1,0,1,/objects/audio/Sahaptian-089.mp3,umatilla
kauyit,káˀuyit,first foods feast,Sahaptian-090,0,1,0,1,/objects/audio/Sahaptian-090.mp3,umatilla
kpit,k̓pɨ́t,bead,Sahaptian-159,0,1,0,0,/objects/audio/Sahaptian-159.mp3,umatilla
kpitki-ianisa,k̓pɨ́tki iˀáníša,she is doing beadwork,Sahaptian-161,0,1,0,0,/objects/audio/Sahaptian-161.mp3,umatilla
kpitna,k̓pɨ́tna,beads,Sahaptian-160,0,1,0,0,/objects/audio/Sahaptian-160.mp3,umatilla
kusi,k̓úsi,horse,Sahaptian-096,1,1,1,1,/objects/audio/Sahaptian-096.mp3,umatilla
lamitu,lamitú,domestic sheep; also [šíip](#siip) ,Sahaptian-100,0,0,0,1,/objects/audio/Sahaptian-100.mp3,umatilla
lawaalaytla,lawaalaytłá,"volcano, like Mount Mazama",Sahaptian-013,1,0,0,0,/objects/audio/Sahaptian-013.mp3,umatilla
lawlaw,lawláw,fur,Sahaptian-110,1,0,0,0,/objects/audio/Sahaptian-110.mp3,umatilla
miimi,míimi,"long ago, already",Sahaptian-007,1,0,0,0,/objects/audio/Sahaptian-007.mp3,umatilla
miyanas,miyánaš,child,Sahaptian-075,0,0,0,0,/objects/audio/Sahaptian-075.mp3,umatilla
miyanasma,miyánašma,children,Sahaptian-076,0,0,0,0,/objects/audio/Sahaptian-076.mp3,umatilla
musmuscin,músmuscɨn,"cow, cattle, buffalo",Sahaptian-099,0,0,0,1,/objects/audio/Sahaptian-099.mp3,umatilla
napayula,nápayuła,"warrior, protector",Sahaptian-153,0,0,1,0,/objects/audio/Sahaptian-153.mp3,umatilla
napayulama,nápayułama,"warrior, protectors",Sahaptian-154,0,0,1,0,/objects/audio/Sahaptian-154.mp3,umatilla
nawtux,náwtux̣,"bring back, revive",Sahaptian-151,0,0,0,1,/objects/audio/Sahaptian-151.mp3,umatilla
naykuk,náyk̓uk,"gather (foods, medicines, materials, or animals)",Sahaptian-046,0,1,1,0,/objects/audio/Sahaptian-046.mp3,umatilla
niit,níit,"cottage, building",Sahaptian-126,0,0,0,0,/objects/audio/Sahaptian-126.mp3,umatilla
niit-aniyi-tkunmi,níit aníyi tk̓unmí,tule lodge,Sahaptian-080,0,1,1,0,/objects/audio/Sahaptian-080.mp3,umatilla
niixwi,níix̣wi,"do well, do good, make friends, or be at peace",Sahaptian-148,0,0,0,0,/objects/audio/Sahaptian-148.mp3,umatilla
nisawtas,nisáwtas,"abandoned camp, could be an archaeological site",Sahaptian-008,1,0,0,0,/objects/audio/Sahaptian-008.mp3,umatilla
nusux,núsux,salmon; represents all aquatic life at the table for [káˀuyit](#kauyit),Sahaptian-047,0,1,0,1,/objects/audio/Sahaptian-047.mp3,umatilla
papatiwiya,pápatiwiya,they fought one another,Sahaptian-143,0,0,0,0,/objects/audio/Sahaptian-143.mp3,umatilla
pawanaqit,páwanaq̓it,treaty between nations; see also [páˀiniix̣ʷat](#painiixwat) or [pawiyalɨxssímwit](#pawiyalixssimwit),Sahaptian-019,1,0,1,1,/objects/audio/Sahaptian-019.mp3,umatilla
pawiyalixssimit,páwiyalɨxssimit,"gathering as one, a coming together",Sahaptian-152,0,0,0,1,/objects/audio/Sahaptian-152.mp3,umatilla
pawiyalixssimwit,pawiyalɨxssímwit,treaty between nations; also [páwanaq̓it](#pawanaqit) or [páˀiniix̣ʷat](#painiixwat),Sahaptian-032,1,0,1,1,/objects/audio/Sahaptian-032.mp3,umatilla
painiixwat,páˀiniix̣ʷat,treaty between nations; also [páwanaq̓it](#pawanaqit) or [pawiyalɨxssímwit](#pawiyalixssimwit),Sahaptian-031,1,0,1,1,/objects/audio/Sahaptian-031.mp3,umatilla
qalamqalam,qalámqalam,"lodgepole pine, scientific name: *Pinus contorta*",Sahaptian-165,0,0,0,0,/objects/audio/Sahaptian-165.mp3,umatilla
qixli,q̓ɨx̣lí,tule mat,Sahaptian-081,0,1,1,0,/objects/audio/Sahaptian-081.mp3,umatilla
qwsqwis,q̓ʷšq̓ʷɨ́š,coffee,Sahaptian-033,0,1,1,0,/objects/audio/Sahaptian-033.mp3,umatilla
sapawaakmuyk,šapáwaakmuyk,"to cause a horse to buck, have a rodeo",Sahaptian-106,0,0,0,0,/objects/audio/Sahaptian-106.mp3,umatilla
sapawaakmuykt,šapáwaakmuykt,"rodeo, round-up",Sahaptian-105,0,0,0,0,/objects/audio/Sahaptian-105.mp3,umatilla
sapawaakpawas,sapawaak̓páwas,button,Sahaptian-034,0,1,1,0,/objects/audio/Sahaptian-034.mp3,umatilla
siil,síil,"material, cloth",Sahaptian-132,0,1,1,0,/objects/audio/Sahaptian-132.mp3,umatilla
siip,šíip,domestic sheep; also [lamitú](#lamitu),Sahaptian-101,0,0,0,1,/objects/audio/Sahaptian-101.mp3,umatilla
siipmi-lawlaw,šiipmí lawláw,wool,Sahaptian-102,0,0,0,0,/objects/audio/Sahaptian-102.mp3,umatilla
siwaala,siwáala,freshwater clam or mussel; also [x̣ɨštú](#xistu-2) or [xɨstú](#xistu),Sahaptian-156,0,1,0,0,/objects/audio/Sahaptian-156.mp3,umatilla
