filename,credit
TuleLodge-River.jpg,"Historical photograph of two tule tipis and horses beside a river. Courtesy of University of Oregon Special Collections, PH036_4433."
IndianAgency.jpg,"Artistic rendering of the Utilla Indian Agency, created by M. Caves."
HallerMap.jpg,"Portion of a map of the Utilla Agency District drawn by Brevet Major G. O. Haller, United States Army. Courtesy of the National Archives and Records Administration, NAID 232925687."
FortHenrietta.jpg,"Artistic rendering of Fort Henrietta, created by M. Caves."
EchoNews.jpg,"Historical photograph of The Echo News building, circa 1890. Courtesy of the Echo Historical Museum."
EchoCityPlat.jpg,"City plat of Echo, from the 1914 Standard Atlas of Umatilla County, Oregon, published by George A. Ogle & Co. Courtesy of the Umatilla County Survey Department."
KoontzBuilding.jpg,Historical photograph of the Koontz Building on Echo's Main Street. Courtesy of the City of Echo.
Tules.jpg,"Modern color photograph of tule reeds near Echo, Oregon. Taken by M. Caves, 2024."
EchoFlood.jpg,"Aerial photograph of 2020 flooding southwest of Echo, Oregon. Courtesy of the City of Echo."
FloodErosion.jpg,Erosion beside the archaeological site caused by flooding in 2020. Courtesy of the City of Echo.
FloodRestoration.jpg,Ongoing floodplain restoration work near the archaeological site. Courtesy of Anderson Perry & Associates.
MC-Site.jpg,Meghan Caves at the archaeological site. Photograph by Kat Eichner.
Fred-Hill-Sr.jpg,Ta̓wtalikš (Fred Hill Sr.) speaking at a Pow Wow.
Fred-Hill-Welcome.mp3,Welcome message recorded by Umatilla master speaker Ta̓wtalikš (Fred Hill Sr.).
